Unnamed: 0,name,img_url,golden_img_url,type,have_normal,have_golden,is_cropped,skip
13,Snowfury Giant,https://media.hearthpwn.com/avatars/423/152/62918.png,https://media.hearthpwn.com/avatars/423/153/62918.gif,Minion,True,True,True,False
14,Spirit of Lucentbark,https://media.hearthpwn.com/avatars/410/99/90992.png,https://media.hearthpwn.com/avatars/410/101/90992.gif,Minion,True,True,True,False
15,Bloodreaver Gul'dan,https://media.hearthpwn.com/avatars/423/184/62934.png,https://media.hearthpwn.com/avatars/423/185/62934.gif,Playable Hero,True,True,False,False
16,Zul'jin,https://media.hearthpwn.com/avatars/420/14/90248.png,https://media.hearthpwn.com/avatars/420/16/90248.gif,Playable Hero,True,True,False,False
17,Decorate,https://media.hearthpwn.com/avatars/419/537/52611.png,https://media.hearthpwn.com/avatars/419/539/52611.gif,Hero Power,True,True,True,False
18,Mur-nado,https://media.hearthpwn.com/avatars/424/348/92632.png,https://media.hearthpwn.com/avatars/424/349/92632.gif,Hero Power,True,True,True,False
19,Stolen Time,https://media.hearthpwn.com/avatars/417/779/77342.png,https://media.hearthpwn.com/avatars/417/781/77342.gif,Hero Power,True,True,True,False
20,A New Hero Approaches,https://media.hearthpwn.com/avatars/412/736/62977.png,https://media.hearthpwn.com/avatars/412/738/62977.gif,Ability,True,True,True,False
21,Alternate Timeline,https://media.hearthpwn.com/avatars/413/975/89671.png,https://media.hearthpwn.com/avatars/413/977/89671.gif,Ability,True,True,True,False
22,Anyfin Can Happen,https://media.hearthpwn.com/avatars/416/75/27240.png,https://media.hearthpwn.com/avatars/416/77/27240.gif,Ability,True,True,True,False
23,Army of the Dead,https://media.hearthpwn.com/avatars/415/205/63111.png,https://media.hearthpwn.com/avatars/415/207/63111.gif,Ability,True,True,True,False
24,Calling for Backup,,,Ability,False,False,False,False
25,Dimensional Ripper,https://media.hearthpwn.com/avatars/409/961/90618.png,https://media.hearthpwn.com/avatars/409/963/90618.gif,Ability,True,True,True,False
26,DOOM!,https://media.hearthpwn.com/avatars/418/583/33129.png,https://media.hearthpwn.com/avatars/418/585/33129.gif,Ability,True,True,True,False
27,EVIL Propaganda,https://media.hearthpwn.com/avatars/410/477/91054.png,https://media.hearthpwn.com/avatars/410/479/91054.gif,Ability,True,True,True,False
28,Felbloom,https://media.hearthpwn.com/avatars/422/785/49824.png,https://media.hearthpwn.com/avatars/422/786/49824.gif,Ability,True,True,True,False
29,Forgotten Armor,https://media.hearthpwn.com/avatars/408/515/49769.png,https://media.hearthpwn.com/avatars/408/517/49769.gif,Ability,True,True,True,False
30,Forgotten Mana,https://media.hearthpwn.com/avatars/422/705/49770.png,https://media.hearthpwn.com/avatars/422/706/49770.gif,Ability,True,True,True,False
31,Goldthorn,https://media.hearthpwn.com/avatars/422/783/49823.png,https://media.hearthpwn.com/avatars/422/784/49823.gif,Ability,True,True,True,False
32,Heart of Fire,https://media.hearthpwn.com/avatars/422/773/49815.png,https://media.hearthpwn.com/avatars/422/774/49815.gif,Ability,True,True,True,False
33,Icecap,https://media.hearthpwn.com/avatars/422/777/49817.png,https://media.hearthpwn.com/avatars/422/778/49817.gif,Ability,True,True,True,False
34,Ichor of Undeath,https://media.hearthpwn.com/avatars/422/791/49827.png,https://media.hearthpwn.com/avatars/422/792/49827.gif,Ability,True,True,True,False
35,Kazakus Potion,https://media.hearthpwn.com/avatars/408/677/49804.png,https://media.hearthpwn.com/avatars/408/679/49804.gif,Ability,True,True,True,False
36,Kingsblood,https://media.hearthpwn.com/avatars/422/781/49821.png,https://media.hearthpwn.com/avatars/422/782/49821.gif,Ability,True,True,True,False
37,Lantern of Power,https://media.hearthpwn.com/avatars/416/666/27259.png,https://media.hearthpwn.com/avatars/416/668/27259.gif,Ability,True,True,True,False
38,Mind Control,https://media.hearthpwn.com/avatars/427/975/401.png,https://media.hearthpwn.com/avatars/427/976/401.gif,Ability,True,True,True,False
39,Mirror of Doom,https://media.hearthpwn.com/avatars/423/514/27257.png,https://media.hearthpwn.com/avatars/423/515/27257.gif,Ability,True,True,True,False
40,Mystic Wool,https://media.hearthpwn.com/avatars/408/722/49819.png,https://media.hearthpwn.com/avatars/408/724/49819.gif,Ability,True,True,True,False
41,Netherbloom,https://media.hearthpwn.com/avatars/408/719/49818.png,https://media.hearthpwn.com/avatars/408/721/49818.gif,Ability,True,True,True,False
42,Puzzle Box of Yogg-Saron,https://media.hearthpwn.com/avatars/421/244/90692.png,https://media.hearthpwn.com/avatars/421/246/90692.gif,Ability,True,True,True,False
43,Pyroblast,https://media.hearthpwn.com/avatars/411/980/496.png,https://media.hearthpwn.com/avatars/411/982/496.gif,Ability,True,True,True,False
44,Ray of Roasting,https://media.hearthpwn.com/avatars/407/651/89977.png,https://media.hearthpwn.com/avatars/407/653/89977.gif,Ability,True,True,True,False
45,Rod of Roasting,https://media.hearthpwn.com/avatars/417/374/77189.png,https://media.hearthpwn.com/avatars/417/376/77189.gif,Ability,True,True,True,False
46,Shadow Oil,https://media.hearthpwn.com/avatars/408/731/49822.png,https://media.hearthpwn.com/avatars/408/733/49822.gif,Ability,True,True,True,False
47,Stonescale Oil,https://media.hearthpwn.com/avatars/422/775/49816.png,https://media.hearthpwn.com/avatars/422/776/49816.gif,Ability,True,True,True,False
48,Superior Potion,https://media.hearthpwn.com/avatars/422/753/49802.png,https://media.hearthpwn.com/avatars/422/754/49802.gif,Ability,True,True,True,False
49,The Final Plague?!,https://media.hearthpwn.com/avatars/424/498/92723.png,https://media.hearthpwn.com/avatars/424/499/92723.gif,Ability,True,True,True,False
50,Timepiece of Horror,https://media.hearthpwn.com/avatars/416/669/27258.png,https://media.hearthpwn.com/avatars/416/671/27258.gif,Ability,True,True,True,False
51,Ultimate Infestation,https://media.hearthpwn.com/avatars/414/779/62879.png,https://media.hearthpwn.com/avatars/414/781/62879.gif,Ability,True,True,True,False
52,Wish,https://media.hearthpwn.com/avatars/417/353/77180.png,https://media.hearthpwn.com/avatars/417/355/77180.gif,Ability,True,True,True,False
53,Your Next Victim Comes,https://media.hearthpwn.com/avatars/419/831/58771.png,https://media.hearthpwn.com/avatars/419/833/58771.gif,Ability,True,True,True,False
54,Animated Statue,https://media.hearthpwn.com/avatars/416/597/27444.png,https://media.hearthpwn.com/avatars/416/599/27444.gif,Minion,True,True,True,False
55,Archaedas,https://media.hearthpwn.com/avatars/423/494/27457.png,https://media.hearthpwn.com/avatars/423/495/27457.gif,Minion,True,True,True,False
56,Aviana,https://media.hearthpwn.com/avatars/422/549/22325.png,https://media.hearthpwn.com/avatars/422/550/22325.gif,Minion,True,True,True,False
57,"Azari, the Devourer",https://media.hearthpwn.com/avatars/417/185/73328.png,https://media.hearthpwn.com/avatars/417/187/73328.gif,Minion,True,True,True,False
58,Big Bad Archmage,https://media.hearthpwn.com/avatars/410/204/90561.png,https://media.hearthpwn.com/avatars/410/206/90561.gif,Minion,True,True,True,False
59,Boom-in-a-Box,https://media.hearthpwn.com/avatars/407/627/89969.png,https://media.hearthpwn.com/avatars/407/629/89969.gif,Minion,True,True,True,False
60,Chieftain Scarvash,https://media.hearthpwn.com/avatars/423/490/27455.png,https://media.hearthpwn.com/avatars/423/491/27455.gif,Minion,True,True,True,False
61,Colossus of the Moon,https://media.hearthpwn.com/avatars/421/499/90764.png,https://media.hearthpwn.com/avatars/421/501/90764.gif,Minion,True,True,True,False
62,C'Thun,https://media.hearthpwn.com/avatars/418/634/35334.png,https://media.hearthpwn.com/avatars/418/636/35334.gif,Minion,True,True,True,False
63,C'Thun,https://media.hearthpwn.com/avatars/418/637/31110.png,https://media.hearthpwn.com/avatars/418/639/31110.gif,Minion,True,True,True,False
64,Deathwing,https://media.hearthpwn.com/avatars/418/235/474.png,https://media.hearthpwn.com/avatars/418/237/474.gif,Minion,True,True,True,False
65,"Deathwing, Dragonlord",https://media.hearthpwn.com/avatars/423/722/33177.png,https://media.hearthpwn.com/avatars/423/723/33177.gif,Minion,True,True,True,False
66,Emeriss,https://media.hearthpwn.com/avatars/426/450/89370.png,https://media.hearthpwn.com/avatars/426/452/89370.gif,Minion,True,True,True,False
67,Faceless Behemoth,https://media.hearthpwn.com/avatars/418/454/35249.png,https://media.hearthpwn.com/avatars/418/456/35249.gif,Minion,True,True,True,False
68,Force-Tank OMEGA MAX,https://media.hearthpwn.com/avatars/419/219/49913.png,https://media.hearthpwn.com/avatars/419/221/49913.gif,Minion,True,True,True,False
69,Frost Giant,https://media.hearthpwn.com/avatars/422/647/22262.png,https://media.hearthpwn.com/avatars/422/648/22262.gif,Minion,True,True,True,False
70,Gearmaster Mechazod,https://media.hearthpwn.com/avatars/414/623/27509.png,https://media.hearthpwn.com/avatars/414/625/27509.gif,Minion,True,True,True,False
71,Gearmaster Mechazod,https://media.hearthpwn.com/avatars/414/626/58739.png,https://media.hearthpwn.com/avatars/414/628/58739.gif,Minion,True,True,True,False
72,Gearmaster Mechazod,https://media.hearthpwn.com/avatars/418/961/49895.png,https://media.hearthpwn.com/avatars/418/963/49895.gif,Minion,True,True,True,False
73,Gearmaster Mechazod,https://media.hearthpwn.com/avatars/418/964/27516.png,https://media.hearthpwn.com/avatars/418/966/27516.gif,Minion,True,True,True,False
74,Giantfin,https://media.hearthpwn.com/avatars/416/642/27461.png,https://media.hearthpwn.com/avatars/416/644/27461.gif,Minion,True,True,True,False
75,"Hakkar, the Soulflayer",https://media.hearthpwn.com/avatars/420/434/90190.png,https://media.hearthpwn.com/avatars/420/436/90190.gif,Minion,True,True,True,False
76,Headless Horseman's Head,https://media.hearthpwn.com/avatars/419/246/63185.png,https://media.hearthpwn.com/avatars/419/248/63185.gif,Minion,True,True,True,False
77,Headless Horseman's Head,https://media.hearthpwn.com/avatars/426/723/92924.png,https://media.hearthpwn.com/avatars/426/725/92924.gif,Minion,True,True,True,False
78,Highkeeper Ra,https://media.hearthpwn.com/avatars/423/856/90749.png,https://media.hearthpwn.com/avatars/423/857/90749.gif,Minion,True,True,True,False
79,Jade Golem,https://media.hearthpwn.com/avatars/408/998/49879.png,https://media.hearthpwn.com/avatars/409/0/49879.gif,Minion,True,True,True,False
80,Jade Golem,https://media.hearthpwn.com/avatars/408/995/49878.png,https://media.hearthpwn.com/avatars/408/997/49878.gif,Minion,True,True,True,False
81,Jade Golem,https://media.hearthpwn.com/avatars/408/992/49877.png,https://media.hearthpwn.com/avatars/408/994/49877.gif,Minion,True,True,True,False
82,Jade Golem,https://media.hearthpwn.com/avatars/408/989/49876.png,https://media.hearthpwn.com/avatars/408/991/49876.gif,Minion,True,True,True,False
83,Jade Golem,https://media.hearthpwn.com/avatars/408/986/49875.png,https://media.hearthpwn.com/avatars/408/988/49875.gif,Minion,True,True,True,False
84,Jade Golem,https://media.hearthpwn.com/avatars/408/983/49874.png,https://media.hearthpwn.com/avatars/408/985/49874.gif,Minion,True,True,True,False
85,Jade Golem,https://media.hearthpwn.com/avatars/408/980/49873.png,https://media.hearthpwn.com/avatars/408/982/49873.gif,Minion,True,True,True,False
86,Jade Golem,https://media.hearthpwn.com/avatars/408/977/49872.png,https://media.hearthpwn.com/avatars/408/979/49872.gif,Minion,True,True,True,False
87,Jade Golem,https://media.hearthpwn.com/avatars/408/974/49871.png,https://media.hearthpwn.com/avatars/408/976/49871.gif,Minion,True,True,True,False
88,Jade Golem,https://media.hearthpwn.com/avatars/408/971/49870.png,https://media.hearthpwn.com/avatars/408/973/49870.gif,Minion,True,True,True,False
89,Jade Golem,https://media.hearthpwn.com/avatars/408/968/49869.png,https://media.hearthpwn.com/avatars/408/970/49869.gif,Minion,True,True,True,False
90,Jade Golem,https://media.hearthpwn.com/avatars/408/965/49868.png,https://media.hearthpwn.com/avatars/408/967/49868.gif,Minion,True,True,True,False
91,Jade Golem,https://media.hearthpwn.com/avatars/408/962/49867.png,https://media.hearthpwn.com/avatars/408/964/49867.gif,Minion,True,True,True,False
92,Jade Golem,https://media.hearthpwn.com/avatars/408/959/49866.png,https://media.hearthpwn.com/avatars/408/961/49866.gif,Minion,True,True,True,False
93,Jade Golem,https://media.hearthpwn.com/avatars/408/938/49859.png,https://media.hearthpwn.com/avatars/408/940/49859.gif,Minion,True,True,True,False
94,Jade Golem,https://media.hearthpwn.com/avatars/408/941/49860.png,https://media.hearthpwn.com/avatars/408/943/49860.gif,Minion,True,True,True,False
95,Jade Golem,https://media.hearthpwn.com/avatars/408/944/49861.png,https://media.hearthpwn.com/avatars/408/946/49861.gif,Minion,True,True,True,False
96,Jade Golem,https://media.hearthpwn.com/avatars/408/947/49862.png,https://media.hearthpwn.com/avatars/408/949/49862.gif,Minion,True,True,True,False
97,Jade Golem,https://media.hearthpwn.com/avatars/408/950/49863.png,https://media.hearthpwn.com/avatars/408/952/49863.gif,Minion,True,True,True,False
98,Jade Golem,https://media.hearthpwn.com/avatars/408/953/49864.png,https://media.hearthpwn.com/avatars/408/955/49864.gif,Minion,True,True,True,False
99,Jade Golem,https://media.hearthpwn.com/avatars/408/956/49865.png,https://media.hearthpwn.com/avatars/408/958/49865.gif,Minion,True,True,True,False
100,Jumbo Imp,https://media.hearthpwn.com/avatars/410/219/90640.png,https://media.hearthpwn.com/avatars/410/221/90640.gif,Minion,True,True,True,False
101,Kalecgos,https://media.hearthpwn.com/avatars/410/309/90544.png,https://media.hearthpwn.com/avatars/410/311/90544.gif,Minion,True,True,True,False
102,"King Krush, Untamed",https://media.hearthpwn.com/avatars/419/441/92189.png,https://media.hearthpwn.com/avatars/419/443/92189.gif,Minion,True,True,True,False
103,King Phaoris,https://media.hearthpwn.com/avatars/421/358/90792.png,https://media.hearthpwn.com/avatars/421/360/90792.gif,Minion,True,True,True,False
104,Kun the Forgotten King,https://media.hearthpwn.com/avatars/426/978/92962.png,https://media.hearthpwn.com/avatars/426/980/92962.gif,Minion,True,True,True,False
105,Kun the Forgotten King,https://media.hearthpwn.com/avatars/408/512/49628.png,https://media.hearthpwn.com/avatars/408/514/49628.gif,Minion,True,True,True,False
106,Lady Naz'jar,https://media.hearthpwn.com/avatars/423/504/27463.png,https://media.hearthpwn.com/avatars/423/505/27463.gif,Minion,True,True,True,False
107,Living Monument,https://media.hearthpwn.com/avatars/421/196/90838.png,https://media.hearthpwn.com/avatars/421/198/90838.gif,Minion,True,True,True,False
108,Lord Slitherspear,https://media.hearthpwn.com/avatars/423/498/27459.png,https://media.hearthpwn.com/avatars/423/499/27459.gif,Minion,True,True,True,False
109,Mecha'thun,https://media.hearthpwn.com/avatars/407/381/89877.png,https://media.hearthpwn.com/avatars/407/383/89877.gif,Minion,True,True,True,False
110,Nefarian,https://media.hearthpwn.com/avatars/419/69/35395.png,https://media.hearthpwn.com/avatars/419/71/35395.gif,Minion,True,True,True,False
111,Nefarian,https://media.hearthpwn.com/avatars/419/72/55653.png,https://media.hearthpwn.com/avatars/419/74/55653.gif,Minion,True,True,True,False
112,Nefarian,https://media.hearthpwn.com/avatars/419/75/49901.png,https://media.hearthpwn.com/avatars/419/77/49901.gif,Minion,True,True,True,False
113,Nozari,https://media.hearthpwn.com/avatars/410/267/90609.png,https://media.hearthpwn.com/avatars/410/269/90609.gif,Minion,True,True,True,False
114,"N'Zoth, the Corruptor",https://media.hearthpwn.com/avatars/423/626/33134.png,https://media.hearthpwn.com/avatars/423/627/33134.gif,Minion,True,True,True,False
115,"N'Zoth, the Corruptor",https://media.hearthpwn.com/avatars/427/908/92975.png,https://media.hearthpwn.com/avatars/427/909/92975.gif,Minion,True,True,True,False
116,Overloaded Mechazod,,,Minion,False,False,False,False
117,Piñata Golem,https://media.hearthpwn.com/avatars/419/534/52610.png,https://media.hearthpwn.com/avatars/419/536/52610.gif,Minion,True,True,True,False
118,Pyros,https://media.hearthpwn.com/avatars/421/568/52586.png,https://media.hearthpwn.com/avatars/421/570/52586.gif,Minion,True,True,True,False
119,Sea Giant,https://media.hearthpwn.com/avatars/412/319/614.png,https://media.hearthpwn.com/avatars/412/321/614.gif,Minion,True,True,True,False
120,Seabreaker Goliath,https://media.hearthpwn.com/avatars/413/621/89552.png,https://media.hearthpwn.com/avatars/413/623/89552.gif,Minion,True,True,True,False
121,Skelesaurus Hex,https://media.hearthpwn.com/avatars/423/508/27465.png,https://media.hearthpwn.com/avatars/423/509/27465.gif,Minion,True,True,True,False
122,Sun Raider Phaerix,https://media.hearthpwn.com/avatars/423/486/27448.png,https://media.hearthpwn.com/avatars/423/487/27448.gif,Minion,True,True,True,False
123,Thaddius,https://media.hearthpwn.com/avatars/412/967/7759.png,https://media.hearthpwn.com/avatars/412/969/7759.gif,Minion,True,True,True,False
124,The Boom Reaver,https://media.hearthpwn.com/avatars/409/979/90624.png,https://media.hearthpwn.com/avatars/409/981/90624.gif,Minion,True,True,True,False
125,The Steel Sentinel,https://media.hearthpwn.com/avatars/423/512/27467.png,https://media.hearthpwn.com/avatars/423/513/27467.gif,Minion,True,True,True,False
126,Tyrantus,https://media.hearthpwn.com/avatars/421/886/55520.png,https://media.hearthpwn.com/avatars/421/888/55520.gif,Minion,True,True,True,False
127,Ultrasaur,https://media.hearthpwn.com/avatars/421/781/55583.png,https://media.hearthpwn.com/avatars/421/783/55583.gif,Minion,True,True,True,False
128,Varian Wrynn,https://media.hearthpwn.com/avatars/427/11/92973.png,https://media.hearthpwn.com/avatars/427/13/92973.gif,Minion,True,True,True,False
129,Varian Wrynn,https://media.hearthpwn.com/avatars/426/243/22342.png,https://media.hearthpwn.com/avatars/426/245/22342.gif,Minion,True,True,True,False
130,"Yogg-Saron, Hope's End",https://media.hearthpwn.com/avatars/423/628/33168.png,https://media.hearthpwn.com/avatars/423/629/33168.gif,Minion,True,True,True,False
131,"Y'Shaarj, Rage Unbound",https://media.hearthpwn.com/avatars/423/574/33156.png,https://media.hearthpwn.com/avatars/423/575/33156.gif,Minion,True,True,True,False
132,Zinaar,https://media.hearthpwn.com/avatars/416/603/27446.png,https://media.hearthpwn.com/avatars/416/605/27446.gif,Minion,True,True,True,False
133,Bloodreaver Gul'dan,https://media.hearthpwn.com/avatars/427/888/91936.png,https://media.hearthpwn.com/avatars/427/889/91936.gif,Hero,True,True,True,False
134,"Dr. Boom, Mad Genius",https://media.hearthpwn.com/avatars/422/406/637033099504515355.png,https://media.hearthpwn.com/avatars/407/248/89827.gif,Playable Hero,True,True,False,False
135,Frost Lich Jaina,https://media.hearthpwn.com/avatars/415/103/61810.png,https://media.hearthpwn.com/avatars/415/105/61810.gif,Playable Hero,True,True,False,False
136,Uther of the Ebon Blade,https://media.hearthpwn.com/avatars/423/182/62906.png,https://media.hearthpwn.com/avatars/423/183/62906.gif,Playable Hero,True,True,False,False
137,Valeera the Hollow,https://media.hearthpwn.com/avatars/415/10/62876.png,https://media.hearthpwn.com/avatars/415/12/62876.gif,Playable Hero,True,True,False,False
138,Call of the Wild,https://media.hearthpwn.com/avatars/423/662/33167.png,https://media.hearthpwn.com/avatars/423/663/33167.gif,Ability,True,True,True,False
139,Call of the Wild,https://media.hearthpwn.com/avatars/426/993/92967.png,https://media.hearthpwn.com/avatars/426/995/92967.gif,Ability,True,True,True,False
140,Demigod's Favor,https://media.hearthpwn.com/avatars/412/289/358.png,https://media.hearthpwn.com/avatars/412/291/358.gif,Ability,True,True,True,False
141,Dreamgrove Ring,https://media.hearthpwn.com/avatars/410/489/91059.png,https://media.hearthpwn.com/avatars/410/491/91059.gif,Ability,True,True,True,False
142,Mass Resurrection,https://media.hearthpwn.com/avatars/410/342/90598.png,https://media.hearthpwn.com/avatars/410/344/90598.gif,Ability,True,True,True,False
143,Plague of Death,https://media.hearthpwn.com/avatars/421/490/90693.png,https://media.hearthpwn.com/avatars/421/492/90693.gif,Ability,True,True,True,False
144,Plan B,,,Ability,False,False,False,False
145,Shallow Graves,https://media.hearthpwn.com/avatars/414/44/89693.png,https://media.hearthpwn.com/avatars/414/46/89693.gif,Ability,True,True,True,False
146,Shan'do's Lesson,https://media.hearthpwn.com/avatars/412/292/159.png,https://media.hearthpwn.com/avatars/412/294/159.gif,Ability,True,True,True,False
147,The Boomship,https://media.hearthpwn.com/avatars/407/171/89856.png,https://media.hearthpwn.com/avatars/407/173/89856.gif,Ability,True,True,True,False
148,Tree of Life,https://media.hearthpwn.com/avatars/414/242/12270.png,https://media.hearthpwn.com/avatars/414/244/12270.gif,Ability,True,True,True,False
149,Zerek's Cloning Gallery,https://media.hearthpwn.com/avatars/407/531/89840.png,https://media.hearthpwn.com/avatars/407/533/89840.gif,Ability,True,True,True,False
150,Alexstrasza,https://media.hearthpwn.com/avatars/412/259/303.png,https://media.hearthpwn.com/avatars/412/261/303.gif,Minion,True,True,True,False
151,Anub'arak,https://media.hearthpwn.com/avatars/422/533/22324.png,https://media.hearthpwn.com/avatars/422/534/22324.gif,Minion,True,True,True,False
152,Anubisath Warbringer,https://media.hearthpwn.com/avatars/421/172/90750.png,https://media.hearthpwn.com/avatars/421/174/90750.gif,Minion,True,True,True,False
153,Archivist Elysiana,https://media.hearthpwn.com/avatars/410/372/90621.png,https://media.hearthpwn.com/avatars/410/374/90621.gif,Minion,True,True,True,False
154,Arch-Thief Rafaam,https://media.hearthpwn.com/avatars/416/135/27254.png,https://media.hearthpwn.com/avatars/416/137/27254.gif,Minion,True,True,True,False
155,Aviana,https://media.hearthpwn.com/avatars/412/490/91657.png,https://media.hearthpwn.com/avatars/412/492/91657.gif,Minion,True,True,True,False
156,Baku the Mooneater,https://media.hearthpwn.com/avatars/413/465/89335.png,https://media.hearthpwn.com/avatars/413/467/89335.gif,Minion,True,True,True,False
157,Blade of C'Thun,https://media.hearthpwn.com/avatars/423/688/35197.png,https://media.hearthpwn.com/avatars/423/689/35197.gif,Minion,True,True,True,False
158,Blood of The Ancient One,https://media.hearthpwn.com/avatars/423/640/33164.png,https://media.hearthpwn.com/avatars/423/641/33164.gif,Minion,True,True,True,False
159,Bull Dozer,https://media.hearthpwn.com/avatars/407/468/89945.png,https://media.hearthpwn.com/avatars/407/470/89945.gif,Minion,True,True,True,False
160,Burly Shovelfist,https://media.hearthpwn.com/avatars/410/417/90675.png,https://media.hearthpwn.com/avatars/410/419/90675.gif,Minion,True,True,True,False
161,Cenarius,https://media.hearthpwn.com/avatars/412/286/605.png,https://media.hearthpwn.com/avatars/412/288/605.gif,Minion,True,True,True,False
162,Dr. Boom Boom Boom Boom,https://media.hearthpwn.com/avatars/419/210/49908.png,https://media.hearthpwn.com/avatars/419/212/49908.gif,Minion,True,True,True,False
163,Dragoncaller Alanna,https://media.hearthpwn.com/avatars/426/657/76960.png,https://media.hearthpwn.com/avatars/426/659/76960.gif,Minion,True,True,True,False
164,Dragonhatcher,https://media.hearthpwn.com/avatars/417/281/76964.png,https://media.hearthpwn.com/avatars/417/283/76964.gif,Minion,True,True,True,False
165,Giant Mastodon,https://media.hearthpwn.com/avatars/421/637/55593.png,https://media.hearthpwn.com/avatars/421/639/55593.gif,Minion,True,True,True,False
166,Hadronox,https://media.hearthpwn.com/avatars/415/121/61828.png,https://media.hearthpwn.com/avatars/415/123/61828.gif,Minion,True,True,True,False
167,Icehowl,https://media.hearthpwn.com/avatars/407/12/22338.png,https://media.hearthpwn.com/avatars/407/14/22338.gif,Minion,True,True,True,False
168,Jade Golem,https://media.hearthpwn.com/avatars/408/935/49858.png,https://media.hearthpwn.com/avatars/408/937/49858.gif,Minion,True,True,True,False
169,Kangor's Apprentice,https://media.hearthpwn.com/avatars/429/308/127324.png,https://media.hearthpwn.com/avatars/429/311/127324.gif,Minion,True,True,True,False
170,Kangor's Apprentice,https://media.hearthpwn.com/avatars/429/325/127563.png,https://media.hearthpwn.com/avatars/429/328/127563.gif,Minion,True,True,True,False
171,King Krush,https://media.hearthpwn.com/avatars/412/229/194.png,https://media.hearthpwn.com/avatars/412/231/194.gif,Minion,True,True,True,False
172,King Krush,https://media.hearthpwn.com/avatars/421/88/92232.png,https://media.hearthpwn.com/avatars/421/90/92232.gif,Minion,True,True,True,False
173,King Mosh,https://media.hearthpwn.com/avatars/421/964/55501.png,https://media.hearthpwn.com/avatars/421/966/55501.gif,Minion,True,True,True,False
174,Krul the Unshackled,https://media.hearthpwn.com/avatars/422/866/49744.png,https://media.hearthpwn.com/avatars/422/867/49744.gif,Minion,True,True,True,False
175,Lord Jaraxxus,https://media.hearthpwn.com/avatars/423/52/482.png,https://media.hearthpwn.com/avatars/423/53/482.gif,Minion,True,True,True,False
176,Majordomo Executus,https://media.hearthpwn.com/avatars/407/849/14456.png,https://media.hearthpwn.com/avatars/407/851/14456.gif,Minion,True,True,True,False
177,Mal'Ganis,https://media.hearthpwn.com/avatars/426/492/12294.png,https://media.hearthpwn.com/avatars/426/494/12294.gif,Minion,True,True,True,False
178,Mal'Ganis,https://media.hearthpwn.com/avatars/428/257/127525.png,https://media.hearthpwn.com/avatars/428/258/127525.gif,Minion,True,True,True,False
179,Malygos,https://media.hearthpwn.com/avatars/412/265/241.png,https://media.hearthpwn.com/avatars/412/267/241.gif,Minion,True,True,True,False
180,Master Oakheart,https://media.hearthpwn.com/avatars/417/242/76983.png,https://media.hearthpwn.com/avatars/417/244/76983.gif,Minion,True,True,True,False
181,Mayor Noggenfogger,https://media.hearthpwn.com/avatars/422/843/49756.png,https://media.hearthpwn.com/avatars/422/844/49756.gif,Minion,True,True,True,False
182,Mekgineer Thermaplugg,https://media.hearthpwn.com/avatars/426/594/12196.png,https://media.hearthpwn.com/avatars/426/596/12196.gif,Minion,True,True,True,False
183,Mulchmuncher,https://media.hearthpwn.com/avatars/407/453/89814.png,https://media.hearthpwn.com/avatars/407/455/89814.gif,Minion,True,True,True,False
184,Nefarian,https://media.hearthpwn.com/avatars/407/867/14448.png,https://media.hearthpwn.com/avatars/407/869/14448.gif,Minion,True,True,True,False
